,date,pressure_msl,dp_diff_3h,dp_range_3h,dp_diff_6h,dp_range_6h,dp_diff_12h,dp_range_12h,risk_3h,risk_6h,risk_12h
0,2026-01-31 08:00:00+00:00,1011.2,,,,,,,none,none,none
1,2026-01-31 09:00:00+00:00,1011.1,,,,,,,none,none,none
2,2026-01-31 10:00:00+00:00,1011.3,,0.1999999999999318,,,,,none,none,none
3,2026-01-31 11:00:00+00:00,1011.5,0.2999999999999545,0.39999999999997726,,,,,none,none,none
4,2026-01-31 12:00:00+00:00,1011.6,0.5,0.3000000000000682,,,,,none,none,none
5,2026-01-31 13:00:00+00:00,1011.1,-0.1999999999999318,0.5,,0.5,,,none,none,none
6,2026-01-31 14:00:00+00:00,1011.2,-0.2999999999999545,0.5,0.0,0.5,,,none,none,none
7,2026-01-31 15:00:00+00:00,1011.0,-0.6000000000000227,0.20000000000004547,-0.10000000000002274,0.6000000000000227,,,none,none,none
8,2026-01-31 16:00:00+00:00,1011.2,0.10000000000002274,0.20000000000004547,-0.09999999999990905,0.6000000000000227,,,none,none,none
9,2026-01-31 17:00:00+00:00,1011.1,-0.10000000000002274,0.20000000000004547,-0.39999999999997726,0.6000000000000227,,,none,none,none
10,2026-01-31 18:00:00+00:00,1010.9,-0.10000000000002274,0.3000000000000682,-0.7000000000000455,0.3000000000000682,,,none,none,none
11,2026-01-31 19:00:00+00:00,1010.8,-0.40000000000009095,0.3000000000000682,-0.3000000000000682,0.40000000000009095,,0.8000000000000682,none,none,none
12,2026-01-31 20:00:00+00:00,1010.4,-0.7000000000000455,0.5,-0.8000000000000682,0.8000000000000682,-0.8000000000000682,1.2000000000000455,none,none,none
13,2026-01-31 21:00:00+00:00,1010.8,-0.10000000000002274,0.39999999999997726,-0.20000000000004547,0.8000000000000682,-0.3000000000000682,1.2000000000000455,none,none,none
14,2026-01-31 22:00:00+00:00,1010.9,0.10000000000002274,0.5,-0.3000000000000682,0.7000000000000455,-0.39999999999997726,1.2000000000000455,none,none,none
15,2026-01-31 23:00:00+00:00,1011.0,0.6000000000000227,0.20000000000004547,-0.10000000000002274,0.6000000000000227,-0.5,1.2000000000000455,none,none,none
16,2026-02-01 00:00:00+00:00,1010.9,0.10000000000002274,0.10000000000002274,0.0,0.6000000000000227,-0.7000000000000455,0.8000000000000682,none,none,none
17,2026-02-01 01:00:00+00:00,1011.1,0.20000000000004547,0.20000000000004547,0.3000000000000682,0.7000000000000455,0.0,0.8000000000000682,none,none,none
18,2026-02-01 02:00:00+00:00,1010.8,-0.20000000000004547,0.3000000000000682,0.39999999999997726,0.3000000000000682,-0.40000000000009095,0.8000000000000682,none,none,none
19,2026-02-01 03:00:00+00:00,1010.2,-0.6999999999999318,0.8999999999999773,-0.599999999999909,0.8999999999999773,-0.7999999999999545,1.0,none,none,none
20,2026-02-01 04:00:00+00:00,1009.5,-1.6000000000000227,1.2999999999999545,-1.3999999999999773,1.6000000000000227,-1.7000000000000455,1.6000000000000227,none,none,none
21,2026-02-01 05:00:00+00:00,1009.3,-1.5,0.900000000000091,-1.7000000000000455,1.8000000000000682,-1.8000000000000682,1.8000000000000682,none,none,none
22,2026-02-01 06:00:00+00:00,1009.4,-0.8000000000000682,0.20000000000004547,-1.5,1.8000000000000682,-1.5,1.8000000000000682,none,none,none
23,2026-02-01 07:00:00+00:00,1009.8,0.2999999999999545,0.5,-1.3000000000000682,1.5,-1.0,1.8000000000000682,none,none,none
24,2026-02-01 08:00:00+00:00,1010.4,1.1000000000000227,1.0,-0.39999999999997726,1.1000000000000227,0.0,1.8000000000000682,none,none,none
25,2026-02-01 09:00:00+00:00,1011.1,1.7000000000000455,1.3000000000000682,0.8999999999999773,1.8000000000000682,0.3000000000000682,1.8000000000000682,none,none,none
26,2026-02-01 10:00:00+00:00,1011.3,1.5,0.8999999999999773,1.7999999999999545,2.0,0.39999999999997726,2.0,none,none,none
27,2026-02-01 11:00:00+00:00,1011.6,1.2000000000000455,0.5,2.300000000000068,2.2000000000000455,0.6000000000000227,2.300000000000068,none,none,none
28,2026-02-01 12:00:00+00:00,1011.7,0.6000000000000227,0.40000000000009095,2.300000000000068,1.900000000000091,0.8000000000000682,2.400000000000091,none,none,none
29,2026-02-01 13:00:00+00:00,1012.1,0.8000000000000682,0.5,2.300000000000068,1.7000000000000455,1.0,2.800000000000068,none,none,none
30,2026-02-01 14:00:00+00:00,1012.2,0.6000000000000227,0.5,1.8000000000000682,1.1000000000000227,1.400000000000091,2.900000000000091,none,none,none
31,2026-02-01 15:00:00+00:00,1012.2,0.5,0.10000000000002274,1.1000000000000227,0.900000000000091,2.0,2.900000000000091,none,none,none
32,2026-02-01 16:00:00+00:00,1012.4,0.2999999999999545,0.1999999999999318,1.1000000000000227,0.7999999999999545,2.8999999999999773,3.1000000000000227,none,none,none
33,2026-02-01 17:00:00+00:00,1012.5,0.2999999999999545,0.2999999999999545,0.8999999999999773,0.7999999999999545,3.2000000000000455,3.1000000000000227,none,none,none
34,2026-02-01 18:00:00+00:00,1012.5,0.2999999999999545,0.10000000000002274,0.7999999999999545,0.39999999999997726,3.1000000000000227,2.7000000000000455,none,none,none
35,2026-02-01 19:00:00+00:00,1012.5,0.10000000000002274,0.0,0.39999999999997726,0.2999999999999545,2.7000000000000455,2.1000000000000227,none,none,none
36,2026-02-01 20:00:00+00:00,1012.6,0.10000000000002274,0.10000000000002274,0.39999999999997726,0.39999999999997726,2.2000000000000455,1.5,none,none,none
